arch, instr, time(ms)
rv32, BPF_ALU BPF_LSH BPF_X, 15343
rv32, BPF_ALU BPF_RSH BPF_X, 16182
rv32, BPF_ALU BPF_ARSH BPF_X, 17513
rv32, BPF_ALU BPF_NEG, 5756
rv32, BPF_ALU BPF_MOV BPF_K, 10983
rv32, BPF_ALU BPF_ADD BPF_K, 26974
rv32, BPF_ALU BPF_SUB BPF_K, 27071
rv32, BPF_ALU BPF_AND BPF_K, 11486
rv32, BPF_ALU BPF_OR BPF_K, 13314
rv32, BPF_ALU BPF_XOR BPF_K, 13791
rv32, BPF_ALU BPF_MUL BPF_K, 15269
rv32, BPF_ALU BPF_DIV BPF_K, 14517
rv32, BPF_ALU BPF_MOD BPF_K, 32556
rv32, BPF_ALU BPF_LSH BPF_K, 10715
rv32, BPF_ALU BPF_RSH BPF_K, 11330
rv32, BPF_ALU BPF_ARSH BPF_K, 12202
rv32, BPF_LD BPF_IMM BPF_DW, 40623
rv32, BPF_ALU64 BPF_MOV BPF_X, 13663
rv32, BPF_ALU64 BPF_ADD BPF_X, 62988
rv32, BPF_ALU64 BPF_SUB BPF_X, 83027
rv32, BPF_ALU64 BPF_AND BPF_X, 18458
rv32, BPF_ALU64 BPF_OR BPF_X, 20012
rv32, BPF_ALU64 BPF_XOR BPF_X, 22699
rv32, BPF_ALU64 BPF_MUL BPF_X, 73874
